Accepted Symbol,Family Common Name,Common Name,Kingdom,Division,Class,Order,Family,Genus,Scientific Name,Duration,Growth Habit
HYHE,Aster family,Intermountain rubberweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hymenoxys,Hymenoxys helenioides,Perennial,"Forb/herb, Subshrub"
HYHO,Aster family,owl's-claws,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hymenoxys,Hymenoxys hoopesii,Perennial,Forb/herb
HYOD,Aster family,bitter rubberweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hymenoxys,Hymenoxys odorata,Annual,Forb/herb
HYRIF,Aster family,Colorado rubberweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hymenoxys,Hymenoxys richardsonii var. floribunda,Perennial,"Forb/herb, Subshrub"
ISPL,Aster family,southern goldenbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Isocoma,Isocoma pluriflora,Perennial,"Forb/herb, Subshrub"
ISRU2,Aster family,Rusby's goldenbush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Isocoma,Isocoma rusbyi,Perennial,Subshrub
IVAN2,Aster family,annual marsh elder,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Iva,Iva annua,Annual,Forb/herb
IVANA,Aster family,annual marsh elder,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Iva,Iva annua var. annua,Annual,Forb/herb
LAGR,Aster family,grassleaf lettuce,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca graminifolia,"Biennial, Perennial",Forb/herb
LAGRA,Aster family,grassleaf lettuce,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca graminifolia var. arizonica,"Biennial, Perennial",Forb/herb
LACO13,Aster family,Coulter's horseweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Laennecia,Laennecia coulteri,Annual,Forb/herb
LASC3,Aster family,pineland horseweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Laennecia,Laennecia schiedeana,Annual,Forb/herb
LILA,Aster family,lanceleaf blazing star,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris lancifolia,Perennial,Forb/herb
LISQ,Aster family,scaly blazing star,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris squarrosa,Perennial,Forb/herb
LISQG,Aster family,scaly blazing star,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris squarrosa var. glabrata,Perennial,Forb/herb
LYAR2,Aster family,Arizona skeletonplant,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Lygodesmia,Lygodesmia arizonica,Perennial,Forb/herb
LYDO,Aster family,Dolores River skeletonplant,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Lygodesmia,Lygodesmia doloresensis,Perennial,Forb/herb
LYGR,Aster family,largeflower skeletonplant,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Lygodesmia,Lygodesmia grandiflora,Perennial,Forb/herb
MABI,Aster family,Bigelow's tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera bigelovii,"Biennial, Perennial",Forb/herb
MABIB,Aster family,Bigelow's tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera bigelovii var. bigelovii,"Biennial, Perennial",Forb/herb
MABIC,Aster family,Bigelow's tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera bigelovii var. commixta,Perennial,Forb/herb
MACAA,Aster family,hoary tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera canescens ssp. canescens var. ambigua,"Annual, Biennial, Perennial",Forb/herb
MACAG,Aster family,hoary tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera canescens ssp. glabra,"Annual, Biennial, Perennial",Forb/herb
MACAA2,Aster family,hoary tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera canescens ssp. glabra var. aristata,"Annual, Biennial, Perennial",Forb/herb
MACAG2,Aster family,hoary tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera canescens ssp. glabra var. glabra,"Annual, Biennial, Perennial",Forb/herb
MACO13,Aster family,Colorado tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera coloradoensis,Perennial,"Forb/herb, Subshrub"
MACOB,Aster family,Brandegee's tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera coloradoensis var. brandegeei,Perennial,"Forb/herb, Subshrub"
MACOC,Aster family,Colorado tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera coloradoensis var. coloradoensis,Perennial,"Forb/herb, Subshrub"
MAGR10,Aster family,slender goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera gracilis,Annual,Forb/herb
MAPA,Aster family,smallflower tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera parviflora,Annual,Forb/herb
MAPIG,Aster family,Goodding's tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera pinnatifida ssp. gooddingii,Perennial,"Forb/herb, Subshrub"
MAPIP3,Aster family,Goodding's tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera pinnatifida ssp. gooddingii var. paradoxa,Perennial,"Forb/herb, Subshrub"
MAPIG3,Aster family,lacy tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Machaeranthera,Machaeranthera pinnatifida ssp. pinnatifida var. glaberrima,Perennial,"Forb/herb, Subshrub"
MASO,Aster family,sowthistle desertdandelion,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Malacothrix,Malacothrix sonchoides,Annual,Forb/herb
MATO2,Aster family,Torrey's desertdandelion,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Malacothrix,Malacothrix torreyi,Annual,Forb/herb
MELE2,Aster family,plains blackfoot,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Melampodium,Melampodium leucanthum,Perennial,"Forb/herb, Subshrub"
OOEN,Aster family,Engelmann's false goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Oonopsis,Oonopsis engelmannii,Perennial,"Forb/herb, Subshrub"
OOFO,Aster family,leafy false goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Oonopsis,Oonopsis foliosa,Perennial,"Forb/herb, Subshrub"
OOFOF,Aster family,leafy false goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Oonopsis,Oonopsis foliosa var. foliosa,Perennial,"Forb/herb, Subshrub"
OOFOM,Aster family,Raven Ridge false goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Oonopsis,Oonopsis foliosa var. monocephala,Perennial,"Forb/herb, Subshrub"
ORPA3,Aster family,Parry's goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Oreochrysum,Oreochrysum parryi,Perennial,Forb/herb
OXAC4,Aster family,copperweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Oxytenia,Oxytenia acerosa,Perennial,"Forb/herb, Shrub, Subshrub"
PACR5,Aster family,saffron ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera crocata,Perennial,Forb/herb
PADE22,Aster family,weak groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera debilis,Perennial,Forb/herb
PADI11,Aster family,splitleaf groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera dimorphophylla,Perennial,Forb/herb
PADID3,Aster family,splitleaf groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera dimorphophylla var. dimorphophylla,Perennial,Forb/herb
PADII4,Aster family,splitleaf groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera dimorphophylla var. intermedia,Perennial,Forb/herb
PAFE4,Aster family,Fendler's ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera fendleri,Perennial,Forb/herb
PAMA2,Aster family,Mancos Shale Packera,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera mancosana,Perennial,Forb/herb
PAMU11,Aster family,lobeleaf groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera multilobata,"Annual, Perennial",Forb/herb
PANE7,Aster family,New Mexico groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera neomexicana,Perennial,"Forb/herb, Subshrub"
PANEM,Aster family,New Mexico groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera neomexicana var. mutabilis,Perennial,"Forb/herb, Subshrub"
PAPO12,Aster family,Porter's groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera porteri,Perennial,"Forb/herb, Subshrub"
PAPSF,Aster family,falsegold groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera pseudaurea var. flavula,Perennial,Forb/herb
PAWE4,Aster family,hoary groundsel,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera werneriifolia,Perennial,Forb/herb
PARO,Aster family,rosy palafox,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Palafoxia,Palafoxia rosea,Annual,Forb/herb
PAROM,Aster family,rosy palafox,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Palafoxia,Palafoxia rosea var. macrolepis,Annual,Forb/herb
PASP,Aster family,othake,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Palafoxia,Palafoxia sphacelata,Annual,Forb/herb
PAAL6,Aster family,alpine feverfew,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium alpinum,Perennial,Forb/herb
PALI6,Aster family,Colorado feverfew,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium ligulatum,Perennial,Forb/herb
PATE12,Aster family,Arkansas River feverfew,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium tetraneuris,Perennial,Forb/herb
PEAN,Aster family,lemonscent,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pectis,Pectis angustifolia,Annual,Forb/herb
PEANA,Aster family,narrowleaf pectis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pectis,Pectis angustifolia var. angustifolia,Annual,Forb/herb
PECA10,Aster family,mountain tail-leaf,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pericome,Pericome caudata,Perennial,"Forb/herb, Subshrub"
PEPU7,Aster family,rock goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Petradoria,Petradoria pumila,Perennial,"Forb/herb, Subshrub"
PEPUP,Aster family,rock goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Petradoria,Petradoria pumila ssp. pumila,Perennial,"Forb/herb, Subshrub"
PIWO,Aster family,Woodhouse's bahia,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Picradeniopsis,Picradeniopsis woodhousei,Perennial,"Forb/herb, Subshrub"
PIDE4,Aster family,bud sagebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Picrothamnus,Picrothamnus desertorum,Perennial,"Shrub, Subshrub"
PLIN7,Aster family,basindaisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Platyschkuhria,Platyschkuhria integrifolia,Perennial,"Forb/herb, Subshrub"
PLIND,Aster family,desert basindaisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Platyschkuhria,Platyschkuhria integrifolia var. desertorum,Perennial,"Forb/herb, Subshrub"
PLINO,Aster family,oblongleaf basindaisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Platyschkuhria,Platyschkuhria integrifolia var. oblongifolia,Perennial,"Forb/herb, Subshrub"
PREX,Aster family,brightwhite,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Prenanthella,Prenanthella exigua,Perennial,Forb/herb
PSCAC2,Aster family,Wright's cudweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pseudognaphalium,Pseudognaphalium canescens ssp. canescens,"Annual, Biennial, Perennial",Forb/herb
PSJA4,Aster family,Jalisco rabbit-tobacco,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pseudognaphalium,Pseudognaphalium jaliscense,Perennial,Forb/herb
PSBA2,Aster family,Baker's paperflower,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Psilostrophe,Psilostrophe bakeri,Perennial,"Forb/herb, Subshrub"
PSTA,Aster family,woolly paperflower,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Psilostrophe,Psilostrophe tagetina,"Biennial, Perennial","Forb/herb, Subshrub"
PSTAT,Aster family,woolly paperflower,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Psilostrophe,Psilostrophe tagetina var. tagetina,Perennial,"Forb/herb, Subshrub"
PYCL2,Aster family,tranquil goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pyrrocoma,Pyrrocoma clementis,Perennial,Forb/herb
PYCLC,Aster family,tranquil goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pyrrocoma,Pyrrocoma clementis var. clementis,Perennial,Forb/herb
PYCR2,Aster family,curlyhead goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pyrrocoma,Pyrrocoma crocea,Perennial,Forb/herb
PYCRC,Aster family,curlyhead goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pyrrocoma,Pyrrocoma crocea var. crocea,Perennial,Forb/herb
RATA,Aster family,green prairie coneflower,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ratibida,Ratibida tagetes,Perennial,Forb/herb
RAAN2,Aster family,viscid tansyaster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Rayjacksonia,Rayjacksonia annua,Annual,Forb/herb
RAPH2,Aster family,camphor daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Rayjacksonia,Rayjacksonia phyllocephala,Annual,Forb/herb
RUMO9,Aster family,montane coneflower,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Rudbeckia,Rudbeckia montana,Perennial,Forb/herb
SAWE,Aster family,Weber's saw-wort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Saussurea,Saussurea weberi,Perennial,"Forb/herb, Subshrub"
SCSC15,Aster family,badlands mule-ears,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Scabrethia,Scabrethia scabra,Perennial,"Forb/herb, Subshrub"
SCSCC,Aster family,badlands mule-ears,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Scabrethia,Scabrethia scabra ssp. canescens,Perennial,"Forb/herb, Subshrub"
SCSCS5,Aster family,badlands mule-ears,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Scabrethia,Scabrethia scabra ssp. scabra,Perennial,"Forb/herb, Subshrub"
SCMU6,Aster family,manyflower false threadleaf,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Schkuhria,Schkuhria multiflora,Annual,Forb/herb
SEAM,Aster family,showy alpine ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio amplectens,Perennial,Forb/herb
SEAMA,Aster family,showy alpine ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio amplectens var. amplectens,Perennial,Forb/herb
SEAMH,Aster family,Holm's ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio amplectens var. holmii,Perennial,Forb/herb
SEAT,Aster family,tall blacktip ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio atratus,Perennial,Forb/herb
SEBI2,Aster family,nodding ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio bigelovii,Perennial,Forb/herb
SEBIH,Aster family,Hall's ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio bigelovii var. hallii,Perennial,Forb/herb
SECR,Aster family,thickleaf ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio crassulus,Perennial,Forb/herb
SEERK,Aster family,King's ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio eremophilus var. kingii,Perennial,"Forb/herb, Subshrub"
SEFL3,Aster family,threadleaf ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio flaccidus,Perennial,"Forb/herb, Subshrub"
SEFLD,Aster family,Douglas' ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio flaccidus var. douglasii,Perennial,"Forb/herb, Subshrub"
SEFLF,Aster family,threadleaf ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio flaccidus var. flaccidus,Perennial,"Forb/herb, Subshrub"
SEFRB,Aster family,dwarf mountain ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio fremontii var. blitoides,Perennial,Forb/herb
SEFRI,Aster family,dwarf mountain ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio fremontii var. inexpectatus,Perennial,Forb/herb
SEPU3,Aster family,bashful ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio pudicus,"Annual, Perennial",Forb/herb
SERA,Aster family,openwoods ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio rapifolius,Perennial,"Forb/herb, Subshrub"
SERI2,Aster family,Riddell's ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio riddellii,Perennial,"Forb/herb, Subshrub"
SESE2,Aster family,tall ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio serra,Perennial,"Forb/herb, Subshrub"
SESEA,Aster family,tall ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio serra var. admirabilis,Perennial,"Forb/herb, Subshrub"
SESES,Aster family,tall ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio serra var. serra,Perennial,"Forb/herb, Subshrub"
SESO,Aster family,Colorado ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio soldanella,Perennial,Forb/herb
SESP3,Aster family,broom-like ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio spartioides,Perennial,"Forb/herb, Subshrub"
SESPM,Aster family,broom-like ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio spartioides var. multicapitatus,Perennial,"Forb/herb, Subshrub"
SESPS2,Aster family,broom-like ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio spartioides var. spartioides,Perennial,"Forb/herb, Subshrub"
SESP4,Aster family,ballhead ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio sphaerocephalus,Perennial,Forb/herb
SETA,Aster family,dandelion ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio taraxacoides,Perennial,Forb/herb
SEWO,Aster family,Wooton's ragwort,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio wootonii,Perennial,"Forb/herb, Subshrub"
SOMIT2,Aster family,Missouri goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago missouriensis var. tenuissima,Perennial,Forb/herb
SONA,Aster family,baby goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago nana,Perennial,Forb/herb
SOPE,Aster family,downy ragged goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago petiolaris,Perennial,Forb/herb
SOPEA,Aster family,downy ragged goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago petiolaris var. angusta,Perennial,Forb/herb
SOSPP,Aster family,showy goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago speciosa var. pallida,Perennial,Forb/herb
SOVE6,Aster family,threenerve goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago velutina,Perennial,"Forb/herb, Subshrub"
SOWR,Aster family,Wright's goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago wrightii,Perennial,Forb/herb
SOWRA,Aster family,Wright's goldenrod,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago wrightii var. adenophora,Perennial,Forb/herb
SPAR2,Aster family,silver chickensage,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Sphaeromeria,Sphaeromeria argentea,Perennial,"Forb/herb, Subshrub"
SPCA8,Aster family,rock tansy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Sphaeromeria,Sphaeromeria capitata,Perennial,Forb/herb
STAC,Aster family,stemless mock goldenweed,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Stenotus,Stenotus acaulis,Perennial,"Forb/herb, Subshrub"
STEX,Aster family,small wirelettuce,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Stephanomeria,Stephanomeria exigua,"Annual, Biennial, Perennial",Forb/herb
STEXE,Aster family,small wirelettuce,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Stephanomeria,Stephanomeria exigua ssp. exigua,"Annual, Biennial, Perennial",Forb/herb
STPA4,Aster family,brownplume wirelettuce,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Stephanomeria,Stephanomeria pauciflora,Perennial,"Forb/herb, Subshrub"
SYERS,Aster family,white heath aster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum ericoides var. stricticaule,Perennial,Forb/herb
SYFE,Aster family,Fendler's aster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum fendleri,Perennial,"Forb/herb, Subshrub"
SYFOC,Aster family,Canby's aster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum foliaceum var. canbyi,Perennial,Forb/herb
SYOB,Aster family,aromatic aster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum oblongifolium,Perennial,Forb/herb
SYPO4,Aster family,smooth white aster,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum porteri,Perennial,Forb/herb
TAER2,Aster family,woolbearing dandelion,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum eriophorum,Perennial,Forb/herb
TENU2,Aster family,Nuttall's horsebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetradymia,Tetradymia nuttallii,Perennial,"Shrub, Subshrub"
TESP2,Aster family,shortspine horsebrush,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetradymia,Tetradymia spinosa,Perennial,"Shrub, Subshrub"
TEACA,Aster family,Arizona four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris acaulis var. arizonica,Perennial,Forb/herb
TEACC,Aster family,caespitose four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris acaulis var. caespitosa,Perennial,Forb/herb
TEACE,Aster family,stemless four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris acaulis var. epunctata,Perennial,Forb/herb
TEBR,Aster family,Brandegee's four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris brandegeei,Perennial,"Forb/herb, Subshrub"
TEGR3,Aster family,graylocks four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris grandiflora,Perennial,Forb/herb
TEIV,Aster family,Ives' fournerved daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris ivesiana,Perennial,Forb/herb
TESC2,Aster family,stemmy four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris scaposa,Perennial,"Forb/herb, Subshrub"
TESCL,Aster family,stemmy four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris scaposa var. linearis,Perennial,"Forb/herb, Subshrub"
TESCS,Aster family,stemmy four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris scaposa var. scaposa,Perennial,"Forb/herb, Subshrub"
TETO,Aster family,Torrey's four-nerve daisy,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tetraneuris,Tetraneuris torreyana,Perennial,Forb/herb
THAM4,Aster family,Colorado greenthread,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Thelesperma,Thelesperma ambiguum,Perennial,Forb/herb
THFI,Aster family,stiff greenthread,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Thelesperma,Thelesperma filifolium,"Annual, Perennial",Forb/herb
THFII,Aster family,stiff greenthread,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Thelesperma,Thelesperma filifolium var. intermedium,"Annual, Perennial",Forb/herb
THME,Aster family,Hopi tea greenthread,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Thelesperma,Thelesperma megapotamicum,Perennial,Forb/herb
THSUS,Aster family,Navajo tea,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Thelesperma,Thelesperma subnudum var. subnudum,Perennial,Forb/herb
